_te_acc_mean,_te_loss_min,_te_loss_mean,_tr_acc_mean,_tr_loss_mean,_te_acc_min
0.102523856,24.141542,24.652744,0.103402816,25.15962,0.12958312
0.10450075,13.47098,13.701564,0.10345151,13.948306,0.12853922
0.1047625,2.833841,2.7949371,0.1047875,2.7776992,0.1264
0.1042,2.8307805,2.7844067,0.1055125,2.7720582,0.1184
0.1039625,2.8100712,2.7702117,0.1057875,2.7660263,0.1148
0.1044,2.8045976,2.765372,0.10585,2.7657938,0.1138
0.1052,2.805684,2.7682757,0.1047375,2.762918,0.12
0.1043125,2.7748308,2.7660112,0.1041,2.762527,0.1264
0.10475,2.7533908,2.7609415,0.1038625,2.7614317,0.1256
0.10515,2.7694247,2.7484276,0.1039,2.7577894,0.119
0.10595,2.761547,2.7463374,0.1044125,2.7512987,0.1176
0.1047875,2.7619781,2.7445426,0.1054125,2.74268,0.1182
0.104525,2.750481,2.7428818,0.1052125,2.739697,0.119
0.104425,2.75718,2.7358224,0.106175,2.7329075,0.1152
0.1062875,2.7488523,2.7262907,0.10695,2.7275255,0.1188
0.1079,2.7169223,2.7218866,0.10795,2.7269695,0.1272
0.1072375,2.718376,2.719052,0.1062625,2.7263062,0.1242
0.105975,2.738113,2.7164583,0.1063375,2.7199512,0.118
0.1058375,2.7715487,2.7138672,0.1062625,2.7091582,0.1146
