_te_acc,_te_loss,_tr_acc,_tr_loss
0.09823895,23.173449,0.09781517,23.28729
0.098205335,12.714508,0.097880386,12.771249
0.09805313,2.3038163,0.09841563,2.303604
0.09914375,2.3025782,0.099078126,2.302538
0.09853125,2.3025782,0.099025,2.3025362
0.098484375,2.3025863,0.098528124,2.3025453
0.09849688,2.3025887,0.098425,2.3025427
0.0983875,2.302573,0.098484375,2.3025382
0.098078124,2.3025646,0.09814063,2.3025715
0.097446874,2.3025653,0.09842812,2.3025577
0.09770312,2.3025718,0.09847187,2.3025596
0.0982875,2.302574,0.09829687,2.3025656
0.0987375,2.302548,0.0979125,2.3025699
0.098425,2.3025556,0.097990625,2.3025794
0.09794375,2.3025718,0.098121874,2.3025622
0.09793437,2.3025692,0.09903438,2.3025317
0.097765625,2.3025744,0.09830625,2.3025446
0.09800313,2.302591,0.09780312,2.3025749
0.09784375,2.302573,0.09785625,2.30258
0.098353125,2.3025582,0.0986625,2.302567
0.09850625,2.30256,0.098796874,2.3025641
0.09824375,2.3025606,0.09809063,2.3025672
0.09784687,2.302586,0.096675,2.3025832
0.09851875,2.3025692,0.09728125,2.3025765
0.0991625,2.302554,0.09697188,2.3025742
0.09847187,2.302551,0.09760625,2.3025832
0.09854375,2.302547,0.0984125,2.3025663
0.098125,2.302568,0.09845625,2.3025706
0.098396875,2.302562,0.09838125,2.302546
0.09806562,2.3025844,0.098709375,2.3025393
0.097765625,2.3025796,0.09870625,2.3025289
0.09837812,2.302554,0.099109374,2.3025253
0.09850313,2.3025758,0.09930938,2.302509
0.09845313,2.302575,0.09930313,2.3025208
0.09847812,2.302574,0.09842187,2.3025672
0.09873125,2.3025758,0.09774063,2.3025906
0.098825,2.3025649,0.09787813,2.3025835
0.09863438,2.3025634,0.09775937,2.302569
0.0984125,2.3025706,0.09779687,2.302562
0.09802187,2.3025744,0.09764375,2.3025846
0.098121874,2.3025482,0.0981625,2.3025687
0.0975,2.3025537,0.09793125,2.3025577
